# ./sample_venc 0
READ_REG A= 0x3097, D= 0x0 
READ_REG A= 0x3098, D= 0x0 
READ_REG A= 0x3099, D= 0x7D 
READ_REG A= 0x309A, D= 0x0 
READ_REG A= 0x309B, D= 0x10 
READ_REG A= 0x309C, D= 0x22 
READ_REG A= 0x309D, D= 0x0 
READ_REG A= 0x309E, D= 0x5A 
READ_REG A= 0x309F, D= 0x5A 
READ_REG A= 0x30A0, D= 0x2A 
READ_REG A= 0x30A1, D= 0x20 
READ_REG A= 0x30A2, D= 0x2 
READ_REG A= 0x30A3, D= 0x22 
READ_REG A= 0x30A4, D= 0x0 
READ_REG A= 0x30A5, D= 0x0 
READ_REG A= 0x30A6, D= 0x20 
READ_REG A= 0x30A7, D= 0x0 
READ_REG A= 0x30A8, D= 0x20 
READ_REG A= 0x30A9, D= 0x0 
READ_REG A= 0x30AA, D= 0x20 
READ_REG A= 0x30AB, D= 0x0 
READ_REG A= 0x30AC, D= 0x20 
READ_REG A= 0x30AD, D= 0x0 
READ_REG A= 0x30AE, D= 0xB8 
READ_REG A= 0x30AF, D= 0x6 
READ_REG A= 0x30B0, D= 0x43 
READ_REG A= 0x30B1, D= 0x0 
READ_REG A= 0x30B2, D= 0x60 
READ_REG A= 0x30B3, D= 0x12 
READ_REG A= 0x30B4, D= 0x0 
READ_REG A= 0x30B5, D= 0x0 
READ_REG A= 0x30B6, D= 0x11 
READ_REG A= 0x30B7, D= 0xF 
READ_REG A= 0x30B8, D= 0x10 
READ_REG A= 0x30B9, D= 0x0 
READ_REG A= 0x30BA, D= 0x0 
READ_REG A= 0x30BB, D= 0x0 
READ_REG A= 0x30BC, D= 0x3 
READ_REG A= 0x30BD, D= 0xF0 
READ_REG A= 0x30BE, D= 0x4 
READ_REG A= 0x30BF, D= 0x12 
READ_REG A= 0x30C0, D= 0x10 
READ_REG A= 0x30C1, D= 0x0 
READ_REG A= 0x30C2, D= 0x14 
READ_REG A= 0x30C3, D= 0x9 
READ_REG A= 0x30C4, D= 0x0 
READ_REG A= 0x30C5, D= 0x0 
READ_REG A= 0x30C6, D= 0x8 
READ_REG A= 0x30C7, D= 0x0 
READ_REG A= 0x30C8, D= 0x0 
READ_REG A= 0x30C9, D= 0xFE 
READ_REG A= 0x30CA, D= 0x5 
READ_REG A= 0x30CB, D= 0x2 
READ_REG A= 0x30CC, D= 0xFF 
READ_REG A= 0x30CD, D= 0x0 
READ_REG A= 0x30CE, D= 0x0 
READ_REG A= 0x30CF, D= 0x70 
READ_REG A= 0x30D0, D= 0xFF 
READ_REG A= 0x30D1, D= 0x11 
READ_REG A= 0x30D2, D= 0x13 
READ_REG A= 0x30D3, D= 0x13 
READ_REG A= 0x30D4, D= 0x11 
READ_REG A= 0x30D5, D= 0x11 
READ_REG A= 0x30D6, D= 0xE 
READ_REG A= 0x30D7, D= 0x1 
READ_REG A= 0x30D8, D= 0x31 
READ_REG A= 0x30D9, D= 0xC7 
READ_REG A= 0x30DA, D= 0xFE 
READ_REG A= 0x30DB, D= 0x7 
READ_REG A= 0x30DC, D= 0x0 
READ_REG A= 0x30DD, D= 0xFF 
READ_REG A= 0x30DE, D= 0xFF 
READ_REG A= 0x30DF, D= 0xFF 
