# ./sample_venc 0
READ_REG A= 0x328B, D= 0x3 
READ_REG A= 0x328C, D= 0x4 
READ_REG A= 0x328D, D= 0x10 
READ_REG A= 0x328E, D= 0x0 
READ_REG A= 0x328F, D= 0x0 
READ_REG A= 0x3290, D= 0xFF 
READ_REG A= 0x3291, D= 0xF3 
READ_REG A= 0x3292, D= 0x3F 
READ_REG A= 0x3293, D= 0x0 
READ_REG A= 0x3294, D= 0x5 
READ_REG A= 0x3295, D= 0x0 
READ_REG A= 0x3296, D= 0x0 
READ_REG A= 0x3297, D= 0x0 
READ_REG A= 0x3298, D= 0xFF 
READ_REG A= 0x3299, D= 0xF3 
READ_REG A= 0x329A, D= 0x3F 
READ_REG A= 0x329B, D= 0x0 
READ_REG A= 0x329C, D= 0xFF 
READ_REG A= 0x329D, D= 0xF3 
READ_REG A= 0x329E, D= 0x3F 
READ_REG A= 0x329F, D= 0x0 
READ_REG A= 0x32A0, D= 0xFF 
READ_REG A= 0x32A1, D= 0xF3 
READ_REG A= 0x32A2, D= 0x3F 
READ_REG A= 0x32A3, D= 0x0 
READ_REG A= 0x32A4, D= 0x4 
READ_REG A= 0x32A5, D= 0x10 
READ_REG A= 0x32A6, D= 0x8 
READ_REG A= 0x32A7, D= 0x0 
READ_REG A= 0x32A8, D= 0x0 
READ_REG A= 0x32A9, D= 0x90 
READ_REG A= 0x32AA, D= 0xD 
READ_REG A= 0x32AB, D= 0x0 
READ_REG A= 0x32AC, D= 0x8 
READ_REG A= 0x32AD, D= 0x40 
READ_REG A= 0x32AE, D= 0x0 
READ_REG A= 0x32AF, D= 0x0 
READ_REG A= 0x32B0, D= 0xDC 
READ_REG A= 0x32B1, D= 0x90 
READ_REG A= 0x32B2, D= 0xD 
READ_REG A= 0x32B3, D= 0x0 
READ_REG A= 0x32B4, D= 0xFF 
READ_REG A= 0x32B5, D= 0xF3 
READ_REG A= 0x32B6, D= 0x3F 
READ_REG A= 0x32B7, D= 0x0 
READ_REG A= 0x32B8, D= 0x50 
READ_REG A= 0x32B9, D= 0x10 
READ_REG A= 0x32BA, D= 0x0 
READ_REG A= 0x32BB, D= 0x4 
READ_REG A= 0x32BC, D= 0x51 
READ_REG A= 0x32BD, D= 0x20 
READ_REG A= 0x32BE, D= 0x0 
READ_REG A= 0x32BF, D= 0x0 
READ_REG A= 0x32C0, D= 0x84 
READ_REG A= 0x32C1, D= 0x10 
READ_REG A= 0x32C2, D= 0x8 
READ_REG A= 0x32C3, D= 0x0 
READ_REG A= 0x32C4, D= 0xFF 
READ_REG A= 0x32C5, D= 0xF3 
READ_REG A= 0x32C6, D= 0x3F 
READ_REG A= 0x32C7, D= 0x0 
READ_REG A= 0x32C8, D= 0x50 
READ_REG A= 0x32C9, D= 0x10 
READ_REG A= 0x32CA, D= 0x0 
READ_REG A= 0x32CB, D= 0x4 
READ_REG A= 0x32CC, D= 0x51 
READ_REG A= 0x32CD, D= 0x20 
READ_REG A= 0x32CE, D= 0x0 
READ_REG A= 0x32CF, D= 0x0 
READ_REG A= 0x32D0, D= 0x9A 
READ_REG A= 0x32D1, D= 0xF0 
READ_REG A= 0x32D2, D= 0xC 
READ_REG A= 0x32D3, D= 0x0 
READ_REG A= 0x32D4, D= 0x30 
READ_REG A= 0x32D5, D= 0x41 
READ_REG A= 0x32D6, D= 0x19 
READ_REG A= 0x32D7, D= 0x0 
READ_REG A= 0x32D8, D= 0x96 
READ_REG A= 0x32D9, D= 0x30 
READ_REG A= 0x32DA, D= 0xD 
READ_REG A= 0x32DB, D= 0x0 
READ_REG A= 0x32DC, D= 0x2C 
READ_REG A= 0x32DD, D= 0x81 
READ_REG A= 0x32DE, D= 0x19 
READ_REG A= 0x32DF, D= 0x0 
READ_REG A= 0x32E0, D= 0x92 
READ_REG A= 0x32E1, D= 0xC0 
READ_REG A= 0x32E2, D= 0x8 
READ_REG A= 0x32E3, D= 0x0 
READ_REG A= 0x32E4, D= 0x9 
READ_REG A= 0x32E5, D= 0xE0 
READ_REG A= 0x32E6, D= 0x8 
READ_REG A= 0x32E7, D= 0x0 
READ_REG A= 0x32E8, D= 0x12 
READ_REG A= 0x32E9, D= 0x21 
READ_REG A= 0x32EA, D= 0x12 
READ_REG A= 0x32EB, D= 0x0 
READ_REG A= 0x32EC, D= 0xA 
READ_REG A= 0x32ED, D= 0xF0 
READ_REG A= 0x32EE, D= 0x8 
READ_REG A= 0x32EF, D= 0x0 
READ_REG A= 0x32F0, D= 0x13 
READ_REG A= 0x32F1, D= 0x31 
READ_REG A= 0x32F2, D= 0x12 
READ_REG A= 0x32F3, D= 0x0 
READ_REG A= 0x32F4, D= 0xB 
READ_REG A= 0x32F5, D= 0x0 
READ_REG A= 0x32F6, D= 0x9 
READ_REG A= 0x32F7, D= 0x0 
READ_REG A= 0x32F8, D= 0x14 
READ_REG A= 0x32F9, D= 0x41 
READ_REG A= 0x32FA, D= 0x12 
READ_REG A= 0x32FB, D= 0x0 
READ_REG A= 0x32FC, D= 0x0 
READ_REG A= 0x32FD, D= 0x0 
READ_REG A= 0x32FE, D= 0x0 

READ_REG A= 0x3300, D= 0x1 
READ_REG A= 0x3301, D= 0x10 
READ_REG A= 0x3302, D= 0x1 
READ_REG A= 0x3303, D= 0x0 
READ_REG A= 0x3304, D= 0xA 
READ_REG A= 0x3305, D= 0xA1 
READ_REG A= 0x3306, D= 0x11 
READ_REG A= 0x3307, D= 0x0 
READ_REG A= 0x3308, D= 0x2 
READ_REG A= 0x3309, D= 0x20 
READ_REG A= 0x330A, D= 0x1 
READ_REG A= 0x330B, D= 0x0 
READ_REG A= 0x330C, D= 0xB 
READ_REG A= 0x330D, D= 0xB1 
READ_REG A= 0x330E, D= 0x11 
READ_REG A= 0x330F, D= 0x0 
READ_REG A= 0x3310, D= 0x3 
READ_REG A= 0x3311, D= 0x30 
READ_REG A= 0x3312, D= 0x1 
READ_REG A= 0x3313, D= 0x0 
READ_REG A= 0x3314, D= 0xC 
READ_REG A= 0x3315, D= 0xC1 
READ_REG A= 0x3316, D= 0x11 
READ_REG A= 0x3317, D= 0x0 
READ_REG A= 0x3318, D= 0x1 
READ_REG A= 0x3319, D= 0x90 
READ_REG A= 0x331A, D= 0x0 
READ_REG A= 0x331B, D= 0x0 
READ_REG A= 0x331C, D= 0xA 
READ_REG A= 0x331D, D= 0x21 
READ_REG A= 0x331E, D= 0x11 
READ_REG A= 0x331F, D= 0x0 
READ_REG A= 0x3320, D= 0xD 
READ_REG A= 0x3321, D= 0x10 
READ_REG A= 0x3322, D= 0x1 
READ_REG A= 0x3323, D= 0x0 
READ_REG A= 0x3324, D= 0x16 
READ_REG A= 0x3325, D= 0xA1 
READ_REG A= 0x3326, D= 0x11 
READ_REG A= 0x3327, D= 0x0 
READ_REG A= 0x3328, D= 0x92 
READ_REG A= 0x3329, D= 0xC0 
READ_REG A= 0x332A, D= 0x8 
READ_REG A= 0x332B, D= 0x0 
READ_REG A= 0x332C, D= 0xD3 
READ_REG A= 0x332D, D= 0x10 
READ_REG A= 0x332E, D= 0xD 
READ_REG A= 0x332F, D= 0x2 
READ_REG A= 0x3330, D= 0xA0 
READ_REG A= 0x3331, D= 0x50 
READ_REG A= 0x3332, D= 0xD 
READ_REG A= 0x3333, D= 0x1 
READ_REG A= 0x3334, D= 0xF 
READ_REG A= 0x3335, D= 0x0 
READ_REG A= 0x3336, D= 0x0 
READ_REG A= 0x3337, D= 0x0 
READ_REG A= 0x3338, D= 0x1E 
READ_REG A= 0x3339, D= 0x0 
READ_REG A= 0x333A, D= 0x1E 
READ_REG A= 0x333B, D= 0x0 
READ_REG A= 0x333C, D= 0x0 
READ_REG A= 0x333D, D= 0x0 
READ_REG A= 0x333E, D= 0x0 
READ_REG A= 0x333F, D= 0x0 
READ_REG A= 0x3340, D= 0x9E 
READ_REG A= 0x3341, D= 0x1 
READ_REG A= 0x3342, D= 0x78 
READ_REG A= 0x3343, D= 0x0 
READ_REG A= 0x3344, D= 0x3C 
READ_REG A= 0x3345, D= 0x0 
READ_REG A= 0x3346, D= 0x1E 
READ_REG A= 0x3347, D= 0x0 
READ_REG A= 0x3348, D= 0x0 
READ_REG A= 0x3349, D= 0x0 
READ_REG A= 0x334A, D= 0x0 
READ_REG A= 0x334B, D= 0x0 
READ_REG A= 0x334C, D= 0x0 
READ_REG A= 0x334D, D= 0x0 
READ_REG A= 0x334E, D= 0x0 
READ_REG A= 0x334F, D= 0x0 
READ_REG A= 0x3350, D= 0x3 
READ_REG A= 0x3351, D= 0x60 
READ_REG A= 0x3352, D= 0x0 
READ_REG A= 0x3353, D= 0x0 
READ_REG A= 0x3354, D= 0x4 
READ_REG A= 0x3355, D= 0xF0 
READ_REG A= 0x3356, D= 0x7 
READ_REG A= 0x3357, D= 0x0 
READ_REG A= 0x3358, D= 0x6 
READ_REG A= 0x3359, D= 0xE1 
READ_REG A= 0x335A, D= 0x11 
READ_REG A= 0x335B, D= 0x0 
READ_REG A= 0x335C, D= 0x88 
READ_REG A= 0x335D, D= 0x40 
READ_REG A= 0x335E, D= 0x8 
READ_REG A= 0x335F, D= 0x0 
READ_REG A= 0x3360, D= 0x1E 
READ_REG A= 0x3361, D= 0x61 
READ_REG A= 0x3362, D= 0x10 
READ_REG A= 0x3363, D= 0x0 
READ_REG A= 0x3364, D= 0x7A 
READ_REG A= 0x3365, D= 0x40 
READ_REG A= 0x3366, D= 0x0 
READ_REG A= 0x3367, D= 0x0 
READ_REG A= 0x3368, D= 0x4 
READ_REG A= 0x3369, D= 0xC0 
READ_REG A= 0x336A, D= 0x6 
READ_REG A= 0x336B, D= 0x0 
READ_REG A= 0x336C, D= 0x4 
READ_REG A= 0x336D, D= 0x10 
READ_REG A= 0x336E, D= 0x8 
READ_REG A= 0x336F, D= 0x0 
READ_REG A= 0x3370, D= 0x0 
READ_REG A= 0x3371, D= 0x0 
READ_REG A= 0x3372, D= 0x0 
READ_REG A= 0x3373, D= 0x0 
READ_REG A= 0x3374, D= 0x0 
READ_REG A= 0x3375, D= 0x0 
READ_REG A= 0x3376, D= 0x0 
READ_REG A= 0x3377, D= 0x0 
READ_REG A= 0x3378, D= 0x0 
READ_REG A= 0x3379, D= 0x0 
READ_REG A= 0x337A, D= 0x0 
READ_REG A= 0x337B, D= 0x0 
READ_REG A= 0x337C, D= 0x0 
READ_REG A= 0x337D, D= 0x0 
READ_REG A= 0x337E, D= 0x0 
READ_REG A= 0x337F, D= 0x0 
READ_REG A= 0x3380, D= 0x90 
READ_REG A= 0x3381, D= 0x80 
READ_REG A= 0x3382, D= 0x19 
READ_REG A= 0x3383, D= 0x0 
READ_REG A= 0x3384, D= 0x96 
READ_REG A= 0x3385, D= 0x80 
READ_REG A= 0x3386, D= 0x19 
READ_REG A= 0x3387, D= 0x0 
READ_REG A= 0x3388, D= 0x0 
READ_REG A= 0x3389, D= 0x0 
READ_REG A= 0x338A, D= 0x0 
READ_REG A= 0x338B, D= 0x0 
READ_REG A= 0x338C, D= 0x0 
READ_REG A= 0x338D, D= 0x0 
READ_REG A= 0x338E, D= 0x0 
READ_REG A= 0x338F, D= 0x0 
READ_REG A= 0x3390, D= 0xA0 
READ_REG A= 0x3391, D= 0x31 
READ_REG A= 0x3392, D= 0x8 
READ_REG A= 0x3393, D= 0x2 
READ_REG A= 0x3394, D= 0xA0 
READ_REG A= 0x3395, D= 0x1 
READ_REG A= 0x3396, D= 0x0 
READ_REG A= 0x3397, D= 0x0 
READ_REG A= 0x3398, D= 0xFF 
READ_REG A= 0x3399, D= 0xF3 
READ_REG A= 0x339A, D= 0x3F 
READ_REG A= 0x339B, D= 0x0 
READ_REG A= 0x339C, D= 0xA0 
READ_REG A= 0x339D, D= 0x91 
READ_REG A= 0x339E, D= 0xD 
READ_REG A= 0x339F, D= 0x2 
READ_REG A= 0x33A0, D= 0x0 
READ_REG A= 0x33A1, D= 0x0 
READ_REG A= 0x33A2, D= 0x0 
READ_REG A= 0x33A3, D= 0x0 
READ_REG A= 0x33A4, D= 0x0 
READ_REG A= 0x33A5, D= 0x0 
READ_REG A= 0x33A6, D= 0x0 
READ_REG A= 0x33A7, D= 0x0 
READ_REG A= 0x33A8, D= 0x0 
READ_REG A= 0x33A9, D= 0x0 
READ_REG A= 0x33AA, D= 0x0 
READ_REG A= 0x33AB, D= 0x0 
READ_REG A= 0x33AC, D= 0x0 
READ_REG A= 0x33AD, D= 0x0 
READ_REG A= 0x33AE, D= 0x0 
READ_REG A= 0x33AF, D= 0x0 
READ_REG A= 0x33B0, D= 0x50 
READ_REG A= 0x33B1, D= 0x80 
READ_REG A= 0x33B2, D= 0x1A 
READ_REG A= 0x33B3, D= 0x4 
READ_REG A= 0x33B4, D= 0xFD 
READ_REG A= 0x33B5, D= 0xA0 
READ_REG A= 0x33B6, D= 0xD 
READ_REG A= 0x33B7, D= 0x0 
READ_REG A= 0x33B8, D= 0xFF 
READ_REG A= 0x33B9, D= 0xF3 
READ_REG A= 0x33BA, D= 0x3F 
READ_REG A= 0x33BB, D= 0x0 
READ_REG A= 0x33BC, D= 0xDA 
READ_REG A= 0x33BD, D= 0xD0 
READ_REG A= 0x33BE, D= 0xF 
READ_REG A= 0x33BF, D= 0x0 
READ_REG A= 0x33C0, D= 0xFF 
READ_REG A= 0x33C1, D= 0xF3 
READ_REG A= 0x33C2, D= 0x3F 
READ_REG A= 0x33C3, D= 0x0 
READ_REG A= 0x33C4, D= 0x0 
READ_REG A= 0x33C5, D= 0x0 
READ_REG A= 0x33C6, D= 0x0 
READ_REG A= 0x33C7, D= 0x0 
READ_REG A= 0x33C8, D= 0x0 
READ_REG A= 0x33C9, D= 0x0 
READ_REG A= 0x33CA, D= 0x0 
READ_REG A= 0x33CB, D= 0x0 
READ_REG A= 0x33CC, D= 0x0 
READ_REG A= 0x33CD, D= 0x0 
READ_REG A= 0x33CE, D= 0x0 
READ_REG A= 0x33CF, D= 0x0 
READ_REG A= 0x33D0, D= 0xFF 
READ_REG A= 0x33D1, D= 0xF3 
READ_REG A= 0x33D2, D= 0x3F 
READ_REG A= 0x33D3, D= 0x0 
READ_REG A= 0x33D4, D= 0xFF 
READ_REG A= 0x33D5, D= 0xF3 
READ_REG A= 0x33D6, D= 0x3F 
READ_REG A= 0x33D7, D= 0x0 
READ_REG A= 0x33D8, D= 0xFF 
READ_REG A= 0x33D9, D= 0xF3 
READ_REG A= 0x33DA, D= 0x3F 
READ_REG A= 0x33DB, D= 0x0 
READ_REG A= 0x33DC, D= 0xFF 
READ_REG A= 0x33DD, D= 0xF3 
READ_REG A= 0x33DE, D= 0x3F 
READ_REG A= 0x33DF, D= 0x0 
READ_REG A= 0x33E0, D= 0xFF 
READ_REG A= 0x33E1, D= 0xF3 
READ_REG A= 0x33E2, D= 0x3F 
READ_REG A= 0x33E3, D= 0x0 
READ_REG A= 0x33E4, D= 0x0 
READ_REG A= 0x33E5, D= 0x0 
READ_REG A= 0x33E6, D= 0x0 
READ_REG A= 0x33E7, D= 0x0 
READ_REG A= 0x33E8, D= 0xF9 
READ_REG A= 0x33E9, D= 0x0 
READ_REG A= 0x33EA, D= 0x0 
READ_REG A= 0x33EB, D= 0x0 
READ_REG A= 0x33EC, D= 0x0 
READ_REG A= 0x33ED, D= 0x0 
READ_REG A= 0x33EE, D= 0x0 
READ_REG A= 0x33EF, D= 0x0 
READ_REG A= 0x33F0, D= 0x0 
READ_REG A= 0x33F1, D= 0x0 
READ_REG A= 0x33F2, D= 0x0 
READ_REG A= 0x33F3, D= 0x0 
READ_REG A= 0x33F4, D= 0x0 
READ_REG A= 0x33F5, D= 0x0 
READ_REG A= 0x33F6, D= 0x0 
READ_REG A= 0x33F7, D= 0x0 
READ_REG A= 0x33F8, D= 0x0 
READ_REG A= 0x33F9, D= 0x0 
READ_REG A= 0x33FA, D= 0x0 
READ_REG A= 0x33FB, D= 0x0 
READ_REG A= 0x33FC, D= 0x0 
READ_REG A= 0x33FD, D= 0x0 
READ_REG A= 0x33FE, D= 0x0 

READ_REG A= 0x3400, D= 0x0 
READ_REG A= 0x3401, D= 0x0 
READ_REG A= 0x3402, D= 0x11 
READ_REG A= 0x3403, D= 0x11 
READ_REG A= 0x3404, D= 0x0 
READ_REG A= 0x3405, D= 0x20 
READ_REG A= 0x3406, D= 0x0 
READ_REG A= 0x3407, D= 0x3 
READ_REG A= 0x3408, D= 0x0 
READ_REG A= 0x3409, D= 0x0 
READ_REG A= 0x340A, D= 0x0 
READ_REG A= 0x340B, D= 0x0 
READ_REG A= 0x340C, D= 0x0 
READ_REG A= 0x340D, D= 0x0 
READ_REG A= 0x340E, D= 0x0 
READ_REG A= 0x340F, D= 0xF 
READ_REG A= 0x3410, D= 0x20 
READ_REG A= 0x3411, D= 0x0 
READ_REG A= 0x3412, D= 0x2 
READ_REG A= 0x3413, D= 0x1 
READ_REG A= 0x3414, D= 0xA 
READ_REG A= 0x3415, D= 0x1 
READ_REG A= 0x3416, D= 0x0 
READ_REG A= 0x3417, D= 0x0 
READ_REG A= 0x3418, D= 0x49 
READ_REG A= 0x3419, D= 0x4 
READ_REG A= 0x341A, D= 0x0 
READ_REG A= 0x341B, D= 0x0 
READ_REG A= 0x341C, D= 0x40 
READ_REG A= 0x341D, D= 0x0 
READ_REG A= 0x341E, D= 0x0 
READ_REG A= 0x341F, D= 0x0 
READ_REG A= 0x3420, D= 0x0 
READ_REG A= 0x3421, D= 0x0 
READ_REG A= 0x3422, D= 0x0 
READ_REG A= 0x3423, D= 0x0 
READ_REG A= 0x3424, D= 0x0 
READ_REG A= 0x3425, D= 0x0 
READ_REG A= 0x3426, D= 0x8 
READ_REG A= 0x3427, D= 0x0 
READ_REG A= 0x3428, D= 0x0 
READ_REG A= 0x3429, D= 0x0 
READ_REG A= 0x342A, D= 0x0 
READ_REG A= 0x342B, D= 0x0 
READ_REG A= 0x342C, D= 0x47 
READ_REG A= 0x342D, D= 0x0 
READ_REG A= 0x342E, D= 0x0 
READ_REG A= 0x342F, D= 0x0 
READ_REG A= 0x3430, D= 0xF 
READ_REG A= 0x3431, D= 0x0 
READ_REG A= 0x3432, D= 0x3 
READ_REG A= 0x3433, D= 0x0 
READ_REG A= 0x3434, D= 0x0 
READ_REG A= 0x3435, D= 0x0 
READ_REG A= 0x3436, D= 0x0 
READ_REG A= 0x3437, D= 0x0 
READ_REG A= 0x3438, D= 0x0 
READ_REG A= 0x3439, D= 0x0 
READ_REG A= 0x343A, D= 0x0 
READ_REG A= 0x343B, D= 0x0 
READ_REG A= 0x343C, D= 0x0 
READ_REG A= 0x343D, D= 0x0 
READ_REG A= 0x343E, D= 0x0 
READ_REG A= 0x343F, D= 0x0 
READ_REG A= 0x3440, D= 0x0 
READ_REG A= 0x3441, D= 0xC 
READ_REG A= 0x3442, D= 0xC 
READ_REG A= 0x3443, D= 0x3 
READ_REG A= 0x3444, D= 0x40 
READ_REG A= 0x3445, D= 0x4A 
READ_REG A= 0x3446, D= 0x47 
READ_REG A= 0x3447, D= 0x0 
READ_REG A= 0x3448, D= 0x1F 
READ_REG A= 0x3449, D= 0x0 
READ_REG A= 0x344A, D= 0x17 
READ_REG A= 0x344B, D= 0x0 
READ_REG A= 0x344C, D= 0xF 
READ_REG A= 0x344D, D= 0x0 
READ_REG A= 0x344E, D= 0x17 
READ_REG A= 0x344F, D= 0x0 
READ_REG A= 0x3450, D= 0x47 
READ_REG A= 0x3451, D= 0x0 
READ_REG A= 0x3452, D= 0xF 
READ_REG A= 0x3453, D= 0x0 
READ_REG A= 0x3454, D= 0xF 
READ_REG A= 0x3455, D= 0x0 
READ_REG A= 0x3456, D= 0x0 
READ_REG A= 0x3457, D= 0x0 
READ_REG A= 0x3458, D= 0x32 
READ_REG A= 0x3459, D= 0x30 
READ_REG A= 0x345A, D= 0x0 
READ_REG A= 0x345B, D= 0x0 
READ_REG A= 0x345C, D= 0x0 
READ_REG A= 0x345D, D= 0x0 
READ_REG A= 0x345E, D= 0x0 
READ_REG A= 0x345F, D= 0x0 
READ_REG A= 0x3460, D= 0x0 
READ_REG A= 0x3461, D= 0x0 
READ_REG A= 0x3462, D= 0x0 
READ_REG A= 0x3463, D= 0x0 
READ_REG A= 0x3464, D= 0x0 
READ_REG A= 0x3465, D= 0x0 
READ_REG A= 0x3466, D= 0x0 
READ_REG A= 0x3467, D= 0x0 
READ_REG A= 0x3468, D= 0x0 
READ_REG A= 0x3469, D= 0x1 
READ_REG A= 0x346A, D= 0x0 
READ_REG A= 0x346B, D= 0x1 
READ_REG A= 0x346C, D= 0x0 
READ_REG A= 0x346D, D= 0x0 
READ_REG A= 0x346E, D= 0x0 
READ_REG A= 0x346F, D= 0xE4 
READ_REG A= 0x3470, D= 0x0 
READ_REG A= 0x3471, D= 0x0 
READ_REG A= 0x3472, D= 0x9C 
READ_REG A= 0x3473, D= 0x7 
READ_REG A= 0x3474, D= 0x0 
READ_REG A= 0x3475, D= 0x0 
READ_REG A= 0x3476, D= 0x0 
READ_REG A= 0x3477, D= 0x0 
READ_REG A= 0x3478, D= 0x0 
READ_REG A= 0x3479, D= 0x0 
READ_REG A= 0x347A, D= 0x26 
READ_REG A= 0x347B, D= 0x24 
READ_REG A= 0x347C, D= 0x0 
READ_REG A= 0x347D, D= 0x1 
READ_REG A= 0x347E, D= 0x0 
READ_REG A= 0x347F, D= 0x1 
READ_REG A= 0x3480, D= 0x92 
READ_REG A= 0x3481, D= 0x0 
READ_REG A= 0x3482, D= 0x0 
READ_REG A= 0x3483, D= 0x0 
READ_REG A= 0x3484, D= 0x0 
READ_REG A= 0x3485, D= 0x0 
READ_REG A= 0x3486, D= 0x0 
READ_REG A= 0x3487, D= 0x0 
READ_REG A= 0x3488, D= 0x0 
READ_REG A= 0x3489, D= 0x0 
READ_REG A= 0x348A, D= 0x0 
READ_REG A= 0x348B, D= 0x0 
READ_REG A= 0x348C, D= 0x0 
READ_REG A= 0x348D, D= 0x1 
READ_REG A= 0x348E, D= 0x90 
READ_REG A= 0x348F, D= 0x2 
READ_REG A= 0x3490, D= 0x0 
READ_REG A= 0x3491, D= 0x0 
READ_REG A= 0x3492, D= 0xF0 
READ_REG A= 0x3493, D= 0x0 
READ_REG A= 0x3494, D= 0xA 
READ_REG A= 0x3495, D= 0xA 
READ_REG A= 0x3496, D= 0x0 
READ_REG A= 0x3497, D= 0x0 
READ_REG A= 0x3498, D= 0x2C 
READ_REG A= 0x3499, D= 0x1 
READ_REG A= 0x349A, D= 0x1 
READ_REG A= 0x349B, D= 0x0 
READ_REG A= 0x349C, D= 0x0 
READ_REG A= 0x349D, D= 0x0 
READ_REG A= 0x349E, D= 0x1C 
READ_REG A= 0x349F, D= 0x2 
READ_REG A= 0x34A0, D= 0x1 
READ_REG A= 0x34A1, D= 0x0 
READ_REG A= 0x34A2, D= 0x78 
READ_REG A= 0x34A3, D= 0x0 
READ_REG A= 0x34A4, D= 0x78 
READ_REG A= 0x34A5, D= 0x0 
READ_REG A= 0x34A6, D= 0x78 
READ_REG A= 0x34A7, D= 0x0 
READ_REG A= 0x34A8, D= 0x0 
READ_REG A= 0x34A9, D= 0x0 
READ_REG A= 0x34AA, D= 0x0 
READ_REG A= 0x34AB, D= 0x0 
READ_REG A= 0x34AC, D= 0x0 
READ_REG A= 0x34AD, D= 0x0 
READ_REG A= 0x34AE, D= 0x0 
READ_REG A= 0x34AF, D= 0x0 
READ_REG A= 0x34B0, D= 0x1 
READ_REG A= 0x34B1, D= 0x0 
READ_REG A= 0x34B2, D= 0x0 
READ_REG A= 0x34B3, D= 0x0 
READ_REG A= 0x34B4, D= 0x0 
READ_REG A= 0x34B5, D= 0x0 
READ_REG A= 0x34B6, D= 0x0 
READ_REG A= 0x34B7, D= 0x0 
READ_REG A= 0x34B8, D= 0x0 
READ_REG A= 0x34B9, D= 0x0 
READ_REG A= 0x34BA, D= 0x0 
READ_REG A= 0x34BB, D= 0x0 
READ_REG A= 0x34BC, D= 0x0 
READ_REG A= 0x34BD, D= 0x0 
READ_REG A= 0x34BE, D= 0x0 
READ_REG A= 0x34BF, D= 0x0 
READ_REG A= 0x34C0, D= 0x0 
READ_REG A= 0x34C1, D= 0x0 
READ_REG A= 0x34C2, D= 0x0 
READ_REG A= 0x34C3, D= 0x0 
READ_REG A= 0x34C4, D= 0x1 
READ_REG A= 0x34C5, D= 0x0 
READ_REG A= 0x34C6, D= 0x0 
READ_REG A= 0x34C7, D= 0x0 
READ_REG A= 0x34C8, D= 0x3 
READ_REG A= 0x34C9, D= 0x4C 
READ_REG A= 0x34CA, D= 0x4 
READ_REG A= 0x34CB, D= 0x0 
READ_REG A= 0x34CC, D= 0x94 
READ_REG A= 0x34CD, D= 0x11 
READ_REG A= 0x34CE, D= 0x0 
READ_REG A= 0x34CF, D= 0x0 
READ_REG A= 0x34D0, D= 0x0 
READ_REG A= 0x34D1, D= 0x0 
READ_REG A= 0x34D2, D= 0x9B 
READ_REG A= 0x34D3, D= 0x7 
READ_REG A= 0x34D4, D= 0x54 
READ_REG A= 0x34D5, D= 0x4 
READ_REG A= 0x34D6, D= 0x9C 
READ_REG A= 0x34D7, D= 0x7 
READ_REG A= 0x34D8, D= 0x54 
READ_REG A= 0x34D9, D= 0x4 
READ_REG A= 0x34DA, D= 0x0 
READ_REG A= 0x34DB, D= 0x0 
READ_REG A= 0x34DC, D= 0x0 
READ_REG A= 0x34DD, D= 0x0 
READ_REG A= 0x34DE, D= 0x9B 
READ_REG A= 0x34DF, D= 0x7 
READ_REG A= 0x34E0, D= 0x54 
READ_REG A= 0x34E1, D= 0x4 
READ_REG A= 0x34E2, D= 0x60 
READ_REG A= 0x34E3, D= 0x1 
READ_REG A= 0x34E4, D= 0x20 
READ_REG A= 0x34E5, D= 0x1 
READ_REG A= 0x34E6, D= 0x9C 
READ_REG A= 0x34E7, D= 0x7 
READ_REG A= 0x34E8, D= 0x55 
READ_REG A= 0x34E9, D= 0x4 
READ_REG A= 0x34EA, D= 0x0 
READ_REG A= 0x34EB, D= 0x0 
READ_REG A= 0x34EC, D= 0xA 
READ_REG A= 0x34ED, D= 0x0 
READ_REG A= 0x34EE, D= 0xB 
READ_REG A= 0x34EF, D= 0x0 
READ_REG A= 0x34F0, D= 0x0 
READ_REG A= 0x34F1, D= 0x0 
READ_REG A= 0x34F2, D= 0xB 
READ_REG A= 0x34F3, D= 0x0 
READ_REG A= 0x34F4, D= 0x6 
READ_REG A= 0x34F5, D= 0x0 
READ_REG A= 0x34F6, D= 0xC 
READ_REG A= 0x34F7, D= 0x0 
READ_REG A= 0x34F8, D= 0x0 
READ_REG A= 0x34F9, D= 0x0 
READ_REG A= 0x34FA, D= 0x0 
READ_REG A= 0x34FB, D= 0x0 
READ_REG A= 0x34FC, D= 0x0 
READ_REG A= 0x34FD, D= 0x0 
READ_REG A= 0x34FE, D= 0x0 

READ_REG A= 0x3500, D= 0x0 
READ_REG A= 0x3501, D= 0x0 
READ_REG A= 0x3502, D= 0x0 
READ_REG A= 0x3503, D= 0x0 
READ_REG A= 0x3504, D= 0x0 
READ_REG A= 0x3505, D= 0x0 
READ_REG A= 0x3506, D= 0x0 
READ_REG A= 0x3507, D= 0x0 
READ_REG A= 0x3508, D= 0x0 
READ_REG A= 0x3509, D= 0x0 
READ_REG A= 0x350A, D= 0x0 
READ_REG A= 0x350B, D= 0x0 
READ_REG A= 0x350C, D= 0x0 
READ_REG A= 0x350D, D= 0x0 
READ_REG A= 0x350E, D= 0x0 
READ_REG A= 0x350F, D= 0x0 
READ_REG A= 0x3510, D= 0x0 
READ_REG A= 0x3511, D= 0x0 
READ_REG A= 0x3512, D= 0x0 
READ_REG A= 0x3513, D= 0x0 
READ_REG A= 0x3514, D= 0x0 
READ_REG A= 0x3515, D= 0x0 
